data_year,survey_tag,integrated_var,raw_var,mapping_type,resolved_dataset_var,selected_field_type,status
2006,95,EXP_ALCOHOL,Q12-5,range_overlap,q125,other_or_missing,ok
2006,95,EXP_CARE,Q12-13,conceptual_only,q1213,other_or_missing,ok
2006,95,EXP_CLEANING,Q12-7,range_overlap,q127,other_or_missing,ok
2006,95,EXP_CLOTHING,Q12-11,conceptual_only,q1211,other_or_missing,ok
2006,95,EXP_EDU_BOOKS_COMBINED,Q12-8,conceptual_only,q128,other_or_missing,ok
2006,95,EXP_FOOD,Q12-1,range_overlap,q121,other_or_missing,ok
2006,95,EXP_FURNITURE,Q12-12,conceptual_only,q1212,other_or_missing,ok
2006,95,EXP_HOUSING_UTIL,Q12-2,range_overlap,q122,other_or_missing,ok
2006,95,EXP_LOAN_INTEREST,Q12-10,conceptual_only,q1210,other_or_missing,ok
2006,95,EXP_MEDICAL,Q12-4,range_overlap,q124,other_or_missing,ok
2006,95,EXP_OTHER,Q12-14,conceptual_only,q1214,other_or_missing,ok
2006,95,EXP_TAX_INS_GIFT,Q12-6,range_overlap,q126,other_or_missing,ok
2006,95,EXP_TRANSPORT_COMM,Q12-3,range_overlap,q123,other_or_missing,ok
2006,95,EXP_TRAVEL,Q12-9,conceptual_only,q129,other_or_missing,ok
2010,99,EXP_CARE,J7-7,conceptual_only,j7_7_2,amount,ok
2010,99,EXP_CLEANING,J7-1,range_overlap,j7_1_2,amount,ok
2010,99,EXP_CLOTHING,J7-5,conceptual_only,j7_5_2,amount,ok
2010,99,EXP_EDU_BOOKS_COMBINED,J7-2,conceptual_only,j7_2_2,amount,ok
2010,99,EXP_FURNITURE,J7-6,conceptual_only,j7_6_2,amount,ok
2010,99,EXP_LOAN_INTEREST,J7-4,conceptual_only,j7_4_2,amount,ok
2010,99,EXP_OTHER,J7-8,conceptual_only,j7_8_2,amount,ok
2010,99,EXP_TRAVEL,J7-3,conceptual_only,j7_3_2,amount,ok
2014,103,EXP_BOOKS,J7-3,conceptual_only,j7_3_2,amount,ok
2014,103,EXP_CARE,J7-9,conceptual_only,j7_9_2,amount,ok
2014,103,EXP_CLEANING,J7-1,range_overlap,j7_1_2,amount,ok
2014,103,EXP_CLOTHING,J7-7,conceptual_only,j7_7_2,amount,ok
2014,103,EXP_DINING_LODGING,J7-6,range_overlap,j7_6_2,amount,ok
2014,103,EXP_EDU_TUITION,J7-2,conceptual_only,j7_2_2,amount,ok
2014,103,EXP_FURNITURE,J7-8,conceptual_only,j7_8_2,amount,ok
2014,103,EXP_LOAN_INTEREST,J7-5,conceptual_only,j7_5_2,amount,ok
2014,103,EXP_OTHER,J7-10,conceptual_only,j7_10_2,amount,ok
2014,103,EXP_TRAVEL,J7-4,conceptual_only,j7_4_2,amount,ok
2017,106,EXP_BOOKS,M7-3,conceptual_only,m7_3_2,amount,ok
2017,106,EXP_CARE,M7-9,conceptual_only,m7_9_2,amount,ok
2017,106,EXP_CLEANING,M7-1,range_overlap,m7_1_2,amount,ok
2017,106,EXP_CLOTHING,M7-7,conceptual_only,m7_7_2,amount,ok
2017,106,EXP_DINING_LODGING,M7-6,range_overlap,m7_6_2,amount,ok
2017,106,EXP_EDU_TUITION,M7-2,conceptual_only,m7_2_2,amount,ok
2017,106,EXP_FURNITURE,M7-8,conceptual_only,m7_8_2,amount,ok
2017,106,EXP_LOAN_INTEREST,M7-5,conceptual_only,m7_5_2,amount,ok
2017,106,EXP_OTHER,M7-10,conceptual_only,m7_10_2,amount,ok
2017,106,EXP_TRAVEL,M7-4,conceptual_only,m7_4_2,amount,ok
2021,110,EXP_BOOKS,H7-3,conceptual_only,h7_3_2,amount,ok
2021,110,EXP_CARE,H7-9,conceptual_only,h7_9_2,amount,ok
2021,110,EXP_CLEANING,H7-1,range_overlap,h7_1_2,amount,ok
2021,110,EXP_CLOTHING,H7-7,conceptual_only,h7_7_2,amount,ok
2021,110,EXP_DINING_LODGING,H7-6,range_overlap,h7_6_2,amount,ok
2021,110,EXP_EDU_TUITION,H7-2,conceptual_only,h7_2_2,amount,ok
2021,110,EXP_FURNITURE,H7-8,conceptual_only,h7_8_2,amount,ok
2021,110,EXP_LOAN_INTEREST,H7-5,conceptual_only,h7_5_2,amount,ok
2021,110,EXP_OTHER,H7-10,conceptual_only,h7_10_2,amount,ok
2021,110,EXP_TRAVEL,H7-4,conceptual_only,h7_4_2,amount,ok
